mode,guidance_scale,negative_prompt,future_latent_slots,sigma_start,denoise_steps,sigma_schedule,target_latent_idx,target_latent_end,prev_latent_baseline_cos,prev_sequence_baseline_cos,initial_noise_cos,initial_noise_sequence_cos,latent_cos_pred_x0,latent_mse_pred_x0,latent_cos_x_final,latent_mse_x_final,sequence_cos_pred_x0,sequence_mse_pred_x0,sequence_cos_x_final,sequence_mse_x_final,cos_x_final_vs_baseline_diff,cos_pred_x0_vs_baseline_diff,sequence_cos_x_final_vs_baseline_diff,sequence_cos_pred_x0_vs_baseline_diff,hidden_cos
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,1,0.5 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.000759198737796396,-0.000759198737796396,0.08734898269176483,0.4751085340976715,0.0865783840417862,0.4751749038696289,0.08734898269176483,0.4751085340976715,0.0865783840417862,0.4751749038696289,-0.7414568513631821,-0.7406862527132034,-0.7414568513631821,-0.7406862527132034,0.5249394178390503
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,3,0.5 0.12266964 0.021107669 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.002027908805757761,-0.002027908805757761,0.1695467084646225,0.4679386019706726,0.16552555561065674,0.4682570695877075,0.1695467084646225,0.4679386019706726,0.16552555561065674,0.4682570695877075,-0.6625096797943115,-0.6584885269403458,-0.6625096797943115,-0.6584885269403458,0.5707845687866211
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,5,0.5 0.22269149 0.089224105 0.031149099 0.0090225648 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.0020056641660630703,-0.0020056641660630703,0.1825895756483078,0.4669889211654663,0.17804580926895142,0.46733415126800537,0.1825895756483078,0.4669889211654663,0.17804580926895142,0.46733415126800537,-0.6499894261360168,-0.6454456597566605,-0.6499894261360168,-0.6454456597566605,0.6198159456253052
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,10,0.5 0.33760387 0.22269149 0.14307905 0.089224105 0.053770554 0.031149099 0.017229734 0.0090225648 0.0044233257 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.0011214602272957563,-0.0011214602272957563,0.19878248870372772,0.46530669927597046,0.19419780373573303,0.46566250920295715,0.19878248870372772,0.46530669927597046,0.19419780373573303,0.46566250920295715,-0.6338374316692352,-0.6292527467012405,-0.6338374316692352,-0.6292527467012405,0.6407313346862793
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,20,0.5 0.41198815 0.33760387 0.27504134 0.22269149 0.17912547 0.14307905 0.11343794 0.089224105 0.069582798 0.053770554 0.04114394 0.031149099 0.023312053 0.017229734 0.012561706 0.0090225648 0.0063749751 0.0044233257 0.0030079658 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0022751616779714823,0.0022751616779714823,0.22748872637748718,0.46203750371932983,0.22308216989040375,0.46239417791366577,0.22748872637748718,0.46203750371932983,0.22308216989040375,0.46239417791366577,-0.6049530655145645,-0.6005465090274811,-0.6049530655145645,-0.6005465090274811,0.6626099944114685
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,1,0.8 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0014874066691845655,0.0014874066691845655,0.14108793437480927,0.4698697626590729,0.140121728181839,0.46995002031326294,0.14108793437480927,0.4698697626590729,0.140121728181839,0.46995002031326294,-0.6879135072231293,-0.686947301030159,-0.6879135072231293,-0.686947301030159,0.5067130327224731
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,3,0.8 0.1803376 0.027107146 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.0013074784073978662,-0.0013074784073978662,0.16794514656066895,0.46687600016593933,0.16481564939022064,0.46717432141304016,0.16794514656066895,0.46687600016593933,0.16481564939022064,0.46717432141304016,-0.6632195860147476,-0.6600900888442993,-0.6632195860147476,-0.6600900888442993,0.602845311164856
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,5,0.8 0.3401087 0.12833713 0.041349901 0.010699258 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0017185560427606106,0.0017185560427606106,0.22386442124843597,0.46022871136665344,0.22046293318271637,0.46056199073791504,0.22386442124843597,0.46022871136665344,0.22046293318271637,0.46056199073791504,-0.6075723022222519,-0.6041708141565323,-0.6075723022222519,-0.6041708141565323,0.6595485210418701
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,10,0.8 0.52847472 0.3401087 0.2124934 0.12833713 0.074533362 0.041349901 0.021730302 0.010699258 0.0048635222 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0017738619353622198,0.0017738619353622198,0.2349112629890442,0.45861315727233887,0.23155304789543152,0.4589505195617676,0.2349112629890442,0.45861315727233887,0.23155304789543152,0.4589505195617676,-0.5964821875095367,-0.5931239724159241,-0.5964821875095367,-0.5931239724159241,0.683239221572876
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,20,0.8 0.65221396 0.52847472 0.42542904 0.3401087 0.26989634 0.2124934 0.16589006 0.12833713 0.098319816 0.074533362 0.055860379 0.041349901 0.030198058 0.021730302 0.015385136 0.010699258 0.0072940769 0.0048635222 0.0031630801 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.00392000051215291,-0.00392000051215291,0.19225046038627625,0.4630909860134125,0.18903061747550964,0.46345219016075134,0.19225046038627625,0.4630909860134125,0.18903061747550964,0.46345219016075134,-0.6390046179294586,-0.635784775018692,-0.6390046179294586,-0.635784775018692,0.7101449370384216
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,1,1 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0030631874687969685,0.0030631874687969685,0.16208374500274658,0.4674162268638611,0.16097764670848846,0.4675060212612152,0.16208374500274658,0.4674162268638611,0.16097764670848846,0.4675060212612152,-0.6670575886964798,-0.6659514904022217,-0.6670575886964798,-0.6659514904022217,0.504656970500946
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,3,1 0.21688892 0.030609557 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.0017726795049384236,-0.0017726795049384236,0.1802096664905548,0.46494847536087036,0.17740702629089355,0.465236097574234,0.1802096664905548,0.46494847536087036,0.17740702629089355,0.465236097574234,-0.6506282091140747,-0.6478255689144135,-0.6506282091140747,-0.6478255689144135,0.6109092235565186
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,5,1 0.41625082 0.15280411 0.047427303 0.011630898 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0014376932522282004,0.0014376932522282004,0.2274116426706314,0.45896703004837036,0.22438989579677582,0.45928245782852173,0.2274116426706314,0.45896703004837036,0.22438989579677582,0.45928245782852173,-0.6036453396081924,-0.6006235927343369,-0.6036453396081924,-0.6006235927343369,0.6743279695510864
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,10,1 0.65408052 0.41625082 0.25675965 0.15280411 0.087233805 0.047427303 0.02432853 0.011630898 0.005096774 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0004076828481629491,0.0004076828481629491,0.21316757798194885,0.45983514189720154,0.21017327904701233,0.4601894021034241,0.21316757798194885,0.45983514189720154,0.21017327904701233,0.4601894021034241,-0.6178619563579559,-0.6148676574230194,-0.6178619563579559,-0.6148676574230194,0.7122128009796143
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,20,1 0.811359 0.65408052 0.52369317 0.41625082 0.3282849 0.25675965 0.19903033 0.15280411 0.11610374 0.087233805 0.064749394 0.047427303 0.034239447 0.02432853 0.016985811 0.011630898 0.0077934621 0.005096774 0.0032429792 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0020506158471107483,0.0020506158471107483,0.22668710350990295,0.4573099613189697,0.22397461533546448,0.4576474130153656,0.22668710350990295,0.4573099613189697,0.22397461533546448,0.4576474130153656,-0.6040606200695038,-0.6013481318950653,-0.6040606200695038,-0.6013481318950653,0.7293696403503418
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,1,2 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0009207550319842994,0.0009207550319842994,0.15169937908649445,0.46818283200263977,0.1506972312927246,0.46827974915504456,0.15169937908649445,0.46818283200263977,0.1506972312927246,0.46827974915504456,-0.6773380041122437,-0.6763358563184738,-0.6773380041122437,-0.6763358563184738,0.5085790753364563
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,3,2 0.38721939 0.045149488 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.001205060980282724,-0.001205060980282724,0.19255566596984863,0.46199724078178406,0.19015836715698242,0.46230629086494446,0.19255566596984863,0.46199724078178406,0.19015836715698242,0.46230629086494446,-0.6378768682479858,-0.6354795694351196,-0.6378768682479858,-0.6354795694351196,0.6083202362060547
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,5,2 0.7825805 0.26474258 0.073391184 0.015237082 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0010422614868730307,0.0010422614868730307,0.22025036811828613,0.45739567279815674,0.21789123117923737,0.45772111415863037,0.22025036811828613,0.45739567279815674,0.21789123117923737,0.45772111415863037,-0.6101440042257309,-0.6077848672866821,-0.6101440042257309,-0.6077848672866821,0.7176739573478699
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,10,2 1.2708733 0.7825805 0.46481215 0.26474258 0.14354265 0.073391184 0.034946133 0.015237082 0.0059406159 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0015365323051810265,0.0015365323051810265,0.21650274097919464,0.45699450373649597,0.21457475423812866,0.4573104977607727,0.21650274097919464,0.45699450373649597,0.21457475423812866,0.4573104977607727,-0.6134604811668396,-0.6115324944257736,-0.6134604811668396,-0.6115324944257736,0.7554740905761719
A1_causal,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,20,2 1.600149 1.2708733 1.0014712 0.7825805 0.60604875 0.46481215 0.35278252 0.26474258 0.19624894 0.14354265 0.1034668 0.073391184 0.051143357 0.034946133 0.023360972 0.015237082 0.0096658937 0.0059406159 0.0035205698 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.0037632272578775883,-0.0037632272578775883,0.16317525506019592,0.4662971496582031,0.16129283607006073,0.4666520953178406,0.16317525506019592,0.4662971496582031,0.16129283607006073,0.4666520953178406,-0.6667423993349075,-0.6648599803447723,-0.6667423993349075,-0.6648599803447723,0.749672532081604
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,1,0.5 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0023684496991336346,0.0023684496991336346,0.1623011827468872,0.46749675273895264,0.16173364222049713,0.46755680441856384,0.1623011827468872,0.46749675273895264,0.16173364222049713,0.46755680441856384,-0.6663015931844711,-0.665734052658081,-0.6663015931844711,-0.665734052658081,0.519865095615387
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,3,0.5 0.12266964 0.021107669 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.0020117759704589844,-0.0020117759704589844,0.2616410553455353,0.45935577154159546,0.2557871341705322,0.4598143994808197,0.2616410553455353,0.45935577154159546,0.2557871341705322,0.4598143994808197,-0.572248101234436,-0.566394180059433,-0.572248101234436,-0.566394180059433,0.6130744814872742
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,5,0.5 0.22269149 0.089224105 0.031149099 0.0090225648 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.004124475177377462,-0.004124475177377462,0.2650602161884308,0.457746684551239,0.2598997950553894,0.4582049250602722,0.2650602161884308,0.457746684551239,0.2598997950553894,0.4582049250602722,-0.5681354403495789,-0.5629750192165375,-0.5681354403495789,-0.5629750192165375,0.6457200050354004
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,10,0.5 0.33760387 0.22269149 0.14307905 0.089224105 0.053770554 0.031149099 0.017229734 0.0090225648 0.0044233257 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0005683609051629901,0.0005683609051629901,0.27587395906448364,0.45673298835754395,0.27072128653526306,0.4571603834629059,0.27587395906448364,0.45673298835754395,0.27072128653526306,0.4571603834629059,-0.5573139488697052,-0.5521612763404846,-0.5573139488697052,-0.5521612763404846,0.7268593907356262
