mode,guidance_scale,negative_prompt,future_latent_slots,sigma_start,denoise_steps,sigma_schedule,target_latent_idx,target_latent_end,prev_latent_baseline_cos,prev_sequence_baseline_cos,initial_noise_cos,initial_noise_sequence_cos,latent_cos_pred_x0,latent_mse_pred_x0,latent_cos_x_final,latent_mse_x_final,sequence_cos_pred_x0,sequence_mse_pred_x0,sequence_cos_x_final,sequence_mse_x_final,cos_x_final_vs_baseline_diff,cos_pred_x0_vs_baseline_diff,sequence_cos_x_final_vs_baseline_diff,sequence_cos_pred_x0_vs_baseline_diff,hidden_cos
A1_causal,1.0,,7,0.8,3,0.8 0.1803376 0.027107146 0.002,1,8,0.828033447265625,0.7501468658447266,0.0018330481834709644,-7.575409836135805e-05,0.07327739894390106,0.4855667054653168,0.0730922520160675,0.48562994599342346,0.0045189084485173225,0.6588464379310608,0.004499618895351887,0.6588925719261169,-0.7549411952495575,-0.7547560483217239,-0.7456472469493747,-0.7456279573962092,0.8933504819869995
A1_causal,1.0,,7,0.8,5,0.8 0.3401087 0.12833713 0.041349901 0.010699258 0.002,1,8,0.828033447265625,0.7501468658447266,-0.0015138848684728146,-0.0010361936874687672,0.03781963884830475,0.4992881715297699,0.03781627491116524,0.4993123710155487,-0.0012826337479054928,0.6703662872314453,-0.0011837243800982833,0.6703700423240662,-0.7902171723544598,-0.7902138084173203,-0.7513305902248248,-0.751429499592632,0.9380216598510742
A1_causal,1.0,,7,0.8,10,0.8 0.52847472 0.3401087 0.2124934 0.12833713 0.074533362 0.041349901 0.021730302 0.010699258 0.0048635222 0.002,1,8,0.828033447265625,0.7501468658447266,-0.00027790956664830446,-0.0007036603637970984,0.03537243232131004,0.5063580870628357,0.0353994257748127,0.5063692927360535,-0.0024964744225144386,0.678813099861145,-0.002396309282630682,0.6788040399551392,-0.7926340214908123,-0.792661014944315,-0.7525431751273572,-0.752643340267241,0.9346498250961304
A1_causal,1.0,,7,1.0,3,1 0.21688892 0.030609557 0.002,1,8,0.828033447265625,0.7501468658447266,-3.664707764983177e-05,-0.0010895670857280493,0.07068432122468948,0.48771145939826965,0.07052787393331528,0.48777228593826294,-0.0007346086204051971,0.6666260957717896,-0.0007516669575124979,0.6666743159294128,-0.7575055733323097,-0.7573491260409355,-0.7508985328022391,-0.7508814744651318,0.8792648911476135
A1_causal,1.0,,7,1.0,5,1 0.41625082 0.15280411 0.047427303 0.011630898 0.002,1,8,0.828033447265625,0.7501468658447266,-0.0008879874367266893,0.0010297688422724605,0.038375310599803925,0.5028570294380188,0.03838858753442764,0.5028795003890991,0.002721490804105997,0.675224244594574,0.002817908301949501,0.6752310991287231,-0.7896448597311974,-0.7896581366658211,-0.7473289575427771,-0.7474253750406206,0.9342315196990967
A1_causal,1.0,,7,1.0,10,1 0.65408052 0.41625082 0.25675965 0.15280411 0.087233805 0.047427303 0.02432853 0.011630898 0.005096774 0.002,1,8,0.828033447265625,0.7501468658447266,-0.0007404524367302656,0.00022448814706876874,0.03701259568333626,0.5132426619529724,0.03705555200576782,0.5132509469985962,0.0009573942515999079,0.6874050498008728,0.0010527088306844234,0.6873967051506042,-0.7909778952598572,-0.7910208515822887,-0.7490941570140421,-0.7491894715931267,0.9308376312255859
A1_causal,1.0,,7,2.0,3,2 0.38721939 0.045149488 0.002,1,8,0.828033447265625,0.7501468658447266,0.0017395198810845613,0.001036107074469328,0.10485216975212097,0.4891161620616913,0.10476350039243698,0.4891735315322876,0.011634176596999168,0.6820335388183594,0.01159861870110035,0.6820984482765198,-0.723269946873188,-0.723181277513504,-0.7385482471436262,-0.7385126892477274,0.833829939365387
A1_causal,1.0,,7,2.0,5,2 0.7825805 0.26474258 0.073391184 0.015237082 0.002,1,8,0.828033447265625,0.7501468658447266,0.0004633157514035702,0.00020373982260935009,0.055873215198516846,0.5173917412757874,0.055933013558387756,0.5173956155776978,0.004057778045535088,0.7062142491340637,0.00411269161850214,0.7062234282493591,-0.7721004337072372,-0.7721602320671082,-0.7460341742262244,-0.7460890877991915,0.9273784756660461
A1_causal,1.0,,7,2.0,10,2 1.2708733 0.7825805 0.46481215 0.26474258 0.14354265 0.073391184 0.034946133 0.015237082 0.0059406159 0.002,1,8,0.828033447265625,0.7501468658447266,0.0038248198106884956,-0.00057444121921435,0.037759654223918915,0.5497885942459106,0.037839218974113464,0.5497872233390808,-0.008280693553388119,0.7414327263832092,-0.008206495083868504,0.7414321303367615,-0.7901942282915115,-0.7902737930417061,-0.7583533609285951,-0.7584275593981147,0.9205024242401123
A1_causal,7.0,,7,0.8,3,0.8 0.1803376 0.027107146 0.002,1,8,0.828033447265625,0.7501468658447266,0.0009207891416735947,0.00012096285354346037,-0.002813924103975296,0.5380778908729553,-0.002611815929412842,0.5381401181221008,0.0016202154802158475,0.6961439251899719,0.0016151821473613381,0.6962577104568481,-0.8306452631950378,-0.8308473713696003,-0.7485316836973652,-0.7485266503645107,0.8520786762237549
A1_causal,7.0,,7,0.8,5,0.8 0.3401087 0.12833713 0.041349901 0.010699258 0.002,1,8,0.828033447265625,0.7501468658447266,0.000973428541328758,0.00023305058130063117,0.012241365388035774,0.5318278074264526,0.012453109957277775,0.5317939519882202,-0.003062496893107891,0.6992132663726807,-0.0030750660225749016,0.6992491483688354,-0.8155803373083472,-0.8157920818775892,-0.7532219318673015,-0.7532093627378345,0.9004252552986145
A1_causal,7.0,,7,0.8,10,0.8 0.52847472 0.3401087 0.2124934 0.12833713 0.074533362 0.041349901 0.021730302 0.010699258 0.0048635222 0.002,1,8,0.828033447265625,0.7501468658447266,0.0010069888085126877,0.0005034175701439381,0.0196283720433712,0.5331835746765137,0.019751548767089844,0.5331391096115112,0.002144709462299943,0.6996724009513855,0.002088310895487666,0.6996808052062988,-0.8082818984985352,-0.8084050752222538,-0.7480585549492389,-0.7480021563824266,0.9089087247848511
A1_causal,7.0,,7,1.0,3,1 0.21688892 0.030609557 0.002,1,8,0.828033447265625,0.7501468658447266,-0.0023415968753397465,0.0015313499607145786,0.000542166642844677,0.5559646487236023,0.0007031392306089401,0.556208610534668,0.0014333759900182486,0.7134789824485779,0.0014778614277020097,0.7136862874031067,-0.8273303080350161,-0.8274912806227803,-0.7486690044170246,-0.7487134898547083,0.8233816027641296
A1_causal,7.0,,7,1.0,5,1 0.41625082 0.15280411 0.047427303 0.011630898 0.002,1,8,0.828033447265625,0.7501468658447266,-0.0011068419553339481,-0.001137732295319438,0.008688228204846382,0.5493837594985962,0.009044673293828964,0.5493001341819763,-0.010052232071757317,0.7143526077270508,-0.010016180574893951,0.7143824100494385,-0.818988773971796,-0.8193452190607786,-0.7601630464196205,-0.7601990979164839,0.8850734233856201
A1_causal,7.0,,7,1.0,10,1 0.65408052 0.41625082 0.25675965 0.15280411 0.087233805 0.047427303 0.02432853 0.011630898 0.005096774 0.002,1,8,0.828033447265625,0.7501468658447266,-0.0034011933021247387,-0.0006123612402006984,0.029315922409296036,0.541486918926239,0.0295257568359375,0.5414148569107056,-0.002303163055330515,0.7147830724716187,-0.0022987788543105125,0.7147889137268066,-0.7985076904296875,-0.798717524856329,-0.7524456446990371,-0.7524500289000571,0.8981833457946777
A1_causal,7.0,,7,2.0,3,2 0.38721939 0.045149488 0.002,1,8,0.828033447265625,0.7501468658447266,0.0023597816471010447,3.60200647264719e-05,0.14333508908748627,0.5057034492492676,0.1434290111064911,0.5057951807975769,0.013515535742044449,0.7550630569458008,0.01365098636597395,0.7552688121795654,-0.6846044361591339,-0.6846983581781387,-0.7364958794787526,-0.7366313301026821,0.8173714876174927
A1_causal,7.0,,7,2.0,5,2 0.7825805 0.26474258 0.073391184 0.015237082 0.002,1,8,0.828033447265625,0.7501468658447266,0.004497459623962641,0.0009112884872592986,0.05362185463309288,0.5481016635894775,0.05399186536669731,0.5479848980903625,0.007624448277056217,0.7522742748260498,0.00771271251142025,0.7522929310798645,-0.7740415818989277,-0.7744115926325321,-0.7424341533333063,-0.7425224175676703,0.9011814594268799
A1_causal,7.0,,7,2.0,10,2 1.2708733 0.7825805 0.46481215 0.26474258 0.14354265 0.073391184 0.034946133 0.015237082 0.0059406159 0.002,1,8,0.828033447265625,0.7501468658447266,-0.0038568053860217333,-0.0014360600616782904,0.04874380677938461,0.5562038421630859,0.04895394295454025,0.5561078190803528,0.0013770172372460365,0.7467899918556213,0.0014132059877738357,0.7467952370643616,-0.7790795043110847,-0.7792896404862404,-0.7487336598569527,-0.7487698486074805,0.9086383581161499
