target,source,layer,split,loss,xyz_rmse_m,uv_mae_norm,depth_mae_m,velocity_mae_m_per_frame,contact_acc,success_acc,time_to_contact_acc,time_to_contact_mae_bucket
future,raw_no_denoise,6,val,0.768377259061053,0.12847229327772047,0.11637610488838249,0.06367048498738062,0.03845086342075488,0.8293706445427208,0.9426573506602041,0.7167832230354523,0.940559445561229
future,raw_no_denoise,6,test,0.6991448283195496,0.11371709605058035,0.09565067688624064,0.06857814490795136,0.03648597002029419,0.8270833611488342,0.9433333357175191,0.731250007947286,0.8479166825612386
current,raw_no_denoise,6,val,0.2600983589679211,0.11172455288730301,0.11878911702782957,0.05473327144355207,,0.8269230827584967,0.9947552447552448,,
current,raw_no_denoise,6,test,0.2535019278526306,0.1129774550596873,0.09455572267373404,0.05586908708016078,,0.8416666666666667,0.9916666666666667,,
future,raw_no_denoise,14,val,0.7487462575619037,0.12359201480875483,0.11045221557150355,0.07349033124901198,0.03579760004173626,0.8129370675220357,0.9405594672356452,0.7115384632057243,0.9283216862411766
future,raw_no_denoise,14,test,0.7465729713439941,0.11762043535709381,0.10905674199263254,0.0845857580502828,0.0389947513739268,0.8350000182787577,0.9454166809717814,0.7333333412806193,0.8520833412806194
current,raw_no_denoise,14,val,0.25949576851371287,0.10800172888732457,0.13141446967016568,0.05329558865486325,,0.8059440634467385,0.9947552447552448,,
current,raw_no_denoise,14,test,0.260237584511439,0.11779344578584035,0.10206170578797659,0.05832027023037275,,0.8229166666666666,0.9916666666666667,,
future,raw_no_denoise,27,val,0.7825776892942149,0.11663893886379428,0.11546094569709751,0.060378433394056935,0.036260181008935806,0.8076923289499083,0.9419580606313852,0.6835664369009592,1.1013986122358095
future,raw_no_denoise,27,test,0.7066572586695353,0.12277478973070781,0.09683996836344401,0.06045234402020772,0.03702092468738556,0.8362500111262003,0.9412500143051148,0.7375,0.8333333412806193
current,raw_no_denoise,27,val,0.2729890792519896,0.11387963025094745,0.11691341267807501,0.05892642692929798,,0.788461545964221,0.9947552447552448,,
current,raw_no_denoise,27,test,0.25000603795051574,0.11263704895973206,0.09180528422196706,0.06356340696414312,,0.8416666746139526,0.9916666666666667,,
future,denoise_tau=0.900,6,val,0.9158146298015034,0.1283708079294725,0.11134469717532605,0.06482641662021617,0.03610495472704614,0.7615384684576021,0.9416084022788734,0.6346153908676201,1.2377622427640262
